 ;2016
European Union;511,218,467.0
Arab World;406,452,690.0
Caribbean small states;7,245,472.0
Central Europe and the Baltics;102,994,343.0
Early-demographic dividend;3,170,657,660.0
East Asia & Pacific;2,298,707,239.0
East Asia & Pacific (excluding high income);2,053,299,126.0
East Asia & Pacific (IDA & IBRD countries);2,027,896,410.0
Euro area;340,616,862.0
Europe & Central Asia;911,694,031.0
Europe & Central Asia (excluding high income);413,243,140.0
Europe & Central Asia (IDA & IBRD countries);455,387,576.0
Fragile and conflict affected situations;499,508,468.0
Heavily indebted poor countries (HIPC);744,602,976.0
High income;1,241,782,962.0
IBRD only;4,699,240,160.0
IDA & IBRD total;6,273,592,853.0
IDA blend;521,159,047.0
IDA only;1,053,193,646.0
IDA total;1,574,352,693.0
Late-demographic dividend;2,264,577,161.0
Latin America & Caribbean;637,663,866.0
Latin America & Caribbean (excluding high income);562,254,848.0
Latin America & the Caribbean (IDA & IBRD countries);621,534,921.0
Least developed countries: UN classification;979,387,925.0
Low & middle income;6,202,027,949.0
Low income;714,022,293.0
Lower middle income;2,931,083,733.0
Middle East & North Africa;436,738,031.0
Middle East & North Africa (excluding high income);373,719,055.0
Middle East & North Africa (IDA & IBRD countries);369,167,489.0
Middle income;5,488,005,656.0
North America;359,401,287.0
Not classified;..
OECD members;1,292,500,653.0
Other small states;30,012,500.0
Pacific island small states;2,388,875.0
Post-demographic dividend;1,102,423,577.0
Pre-demographic dividend;879,292,453.0
Small states;39,646,847.0
South Asia;1,766,393,714.0
South Asia (IDA & IBRD);1,766,393,714.0
Sub-Saharan Africa;1,033,212,743.0
Sub-Saharan Africa (excluding high income);1,033,118,066.0
Sub-Saharan Africa (IDA & IBRD countries);1,033,212,743.0
Upper middle income;2,556,921,923.0
World;7,443,810,911.0
Albania;2,876,101.0
Andorra;77,281.0
Armenia;2,924,816.0
Austria;8,736,668.0
Azerbaijan;9,757,812.0
Belarus;9,501,534.0
Belgium;11,331,422.0
Bosnia and Herzegovina;3,516,816.0
Bulgaria;7,127,822.0
Channel Islands;164,541.0
Croatia;4,174,349.0
Cyprus;1,170,125.0
Czech Republic;10,566,332.0
Denmark;5,728,010.0
Estonia;1,315,790.0
Faroe Islands;49,117.0
Finland;5,495,303.0
France;66,859,768.0
Georgia;3,727,505.0
Germany;82,348,669.0
Gibraltar;34,408.0
Greece;10,775,971.0
Greenland;56,186.0
Hungary;9,814,023.0
Iceland;335,439.0
Ireland;4,755,335.0
Isle of Man;83,737.0
Italy;60,627,498.0
Kazakhstan;17,794,055.0
Kosovo;1,816,200.0
Kyrgyz Republic;6,079,500.0
Latvia;1,959,537.0
Liechtenstein;37,666.0
Lithuania;2,868,231.0
Luxembourg;582,014.0
Moldova;3,551,954.0
Monaco;38,499.0
Montenegro;622,303.0
Netherlands;17,030,314.0
North Macedonia;2,081,206.0
Norway;5,234,519.0
Poland;37,970,087.0
Portugal;10,325,452.0
Romania;19,702,332.0
Russian Federation;144,342,396.0
San Marino;33,203.0
Serbia;7,058,322.0
Slovak Republic;5,430,798.0
Slovenia;2,065,042.0
Spain;46,483,569.0
Sweden;9,923,085.0
Switzerland;8,373,338.0
Tajikistan;8,734,951.0
Turkey;79,512,426.0
Turkmenistan;5,662,544.0
Ukraine;45,004,645.0
United Kingdom;65,595,565.0
Uzbekistan;31,847,900.0
;
